id,title,description
1,Interstellar,"A team of explorers travels through a wormhole in space to ensure humanity’s survival. The journey tests their courage and understanding of physics."
2,Inception,"A skilled thief enters people’s dreams to steal secrets and plant ideas. Reality and imagination blur in a high-stakes heist."
3,The Dark Knight,"Batman faces the Joker, a criminal mastermind spreading chaos in Gotham. The battle challenges morality, justice, and order."
4,The Matrix,"A hacker discovers the world is a simulated reality controlled by machines. He joins a rebellion to free humanity."
5,The Social Network,"The story of Facebook’s creation, exploring ambition, friendship, and legal battles. It highlights the rise of social media."
6,The Imitation Game,"Alan Turing works to crack the Nazi Enigma code during WWII. His intelligence and struggles shape the course of history."
7,Gravity,"Two astronauts struggle to survive after their shuttle is destroyed in space. They rely on ingenuity and teamwork to return home."
8,Her,"A lonely writer falls in love with an intelligent operating system. The story explores love, consciousness, and technology."
9,The Martian,"An astronaut stranded on Mars uses science and creativity to survive. He must communicate with Earth to get rescued."
10,Arrival,"A linguist attempts to communicate with aliens who have landed on Earth. Understanding their language may save humanity."
11,Avatar,"Humans colonize Pandora to mine resources. A marine becomes torn between his mission and the planet’s indigenous people."
12,Gladiator,"A betrayed Roman general seeks revenge against an emperor. His journey combines honor, family, and vengeance."
13,Titanic,"A young couple falls in love aboard the doomed RMS Titanic. Their romance faces societal class and tragedy."
14,Jurassic Park,"Scientists clone dinosaurs for a theme park. Chaos ensues when the creatures escape their enclosures."
15,Avengers: Endgame,"The Avengers attempt to undo Thanos’ destruction. They face emotional and physical challenges to save the universe."
16,Black Panther,"The king of Wakanda defends his nation against internal and external threats. Tradition, technology, and responsibility collide."
17,Guardians of the Galaxy,"A group of intergalactic misfits must stop a powerful villain. Their teamwork, humor, and courage save the galaxy."
18,Iron Man,"A billionaire engineer builds a powerful suit to fight evil. He discovers responsibility and heroism along the way."
19,Doctor Strange,"A surgeon discovers magic after a tragic accident. He learns mystical arts to defend the world from supernatural threats."
20,Spider-Man: Homecoming,"Peter Parker balances high school life with being a superhero. He faces challenges from villains and his own insecurities."
21,Wonder Woman,"An Amazonian warrior leaves her island to stop a world war. She learns about humanity, justice, and love."
22,Man of Steel,"Clark Kent discovers his alien origins and destiny. He becomes Superman to protect Earth from threats."
23,Batman Begins,"Bruce Wayne trains to fight crime after witnessing his parents’ death. He faces his fears and forms his alter ego, Batman."
24,The Lord of the Rings: Fellowship of the Ring,"A hobbit embarks on a quest to destroy a powerful ring. Friendship and bravery guide the fellowship’s journey."
25,The Lord of the Rings: Two Towers,"The fellowship is scattered, and war looms. Courage and hope drive their struggle against evil forces."
26,The Lord of the Rings: Return of the King,"The final battle against Sauron begins. Sacrifice and heroism determine the fate of Middle-earth."
27,Hobbit: An Unexpected Journey,"Bilbo Baggins joins dwarves on a quest to reclaim their homeland. Adventure and courage lead him into danger."
28,Hobbit: The Desolation of Smaug,"Bilbo confronts the dragon Smaug. He grows in bravery and resourcefulness on his journey."
29,Hobbit: The Battle of the Five Armies,"Allies unite for a massive battle. Strategy, loyalty, and sacrifice determine the outcome of war."
30,Star Wars: A New Hope,"Luke Skywalker begins his journey as a Jedi. He helps the Rebellion fight the Empire and learns about destiny."
31,Star Wars: The Empire Strikes Back,"The Empire pursues the Rebellion relentlessly. Luke trains with Yoda while confronting personal challenges."
32,Star Wars: Return of the Jedi,"The final confrontation with the Empire occurs. Luke and his friends fight to restore peace to the galaxy."
33,Star Wars: The Force Awakens,"A new hero emerges while the First Order rises. Old legends return to guide the next generation."
34,Star Wars: The Last Jedi,"Rebellion forces struggle against the First Order. Characters face moral dilemmas and personal growth challenges."
35,Star Wars: The Rise of Skywalker,"The final battle against the dark side unfolds. Heroes confront legacy, destiny, and the future of the galaxy."
36,Avengers: Infinity War,"The Avengers face Thanos, who seeks all Infinity Stones. Stakes are high as heroes unite and struggle to survive."
37,Thor: Ragnarok,"Thor must prevent the destruction of Asgard. Humor, courage, and teamwork shape the battle against Hela."
